day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
2,2013,01,01,2013-01-01,37.8,23.6,1011.9,10.0,6.1,8.9,19.0,39.9,33.1,0.0,999.9,0,381
3,2013,01,02,2013-01-02,27.1,10.5,1016.8,10.0,5.3,9.9,19.0,33.1,21.9,0.0,999.9,0,480
4,2013,01,03,2013-01-03,28.4,14.1,1020.6,10.0,3.7,8.0,15.0,32.0,24.1,0.0,999.9,0,549
5,2013,01,04,2013-01-04,33.4,18.6,1017.0,10.0,6.5,13.0,24.1,37.0,30.0,0.0,999.9,0,505
6,2013,01,05,2013-01-05,36.1,18.7,1020.6,10.0,6.6,12.0,21.0,42.1,32.0,0.0,999.9,0,389
7,2013,01,06,2013-01-06,38.3,25.0,1019.5,8.5,5.3,8.9,17.1,46.0,34.0,0.0,999.9,0,393
1,2013,01,07,2013-01-07,40.9,23.8,1022.6,10.0,5.7,11.1,17.1,45.0,37.0,0.0,999.9,0,521
2,2013,01,08,2013-01-08,40.7,25.4,1028.5,9.3,5.1,8.9,22.0,48.0,35.1,0.0,999.9,0,513
3,2013,01,09,2013-01-09,43.8,30.8,1026.3,7.8,3.7,9.9,15.9,48.9,39.0,0.0,999.9,0,487
4,2013,01,10,2013-01-10,44.3,25.4,1028.5,9.9,5.9,11.1,19.0,48.0,39.9,0.0,999.9,0,555
5,2013,01,11,2013-01-11,40.5,27.1,1030.4,9.4,4.5,7.0,999.9,44.1,37.0,0.0,999.9,0,660
6,2013,01,12,2013-01-12,44.6,43.0,1020.5,3.9,3.5,7.0,999.9,46.9,42.1,0.57,999.9,0,475
7,2013,01,13,2013-01-13,45.3,43.1,1019.7,4.2,2.9,8.0,999.9,48.9,43.0,0.02,999.9,1,373
1,2013,01,14,2013-01-14,52.5,45.4,1016.8,5.9,3.9,8.9,15.9,72.0,48.0,0.0,999.9,1,542
2,2013,01,15,2013-01-15,37.9,27.9,1025.5,9.7,5.7,11.1,14.0,50.0,35.1,0.09,999.9,0,516
3,2013,01,16,2013-01-16,34.2,30.0,1018.6,5.4,4.6,12.0,14.0,37.9,32.0,0.63,999.9,0,578
4,2013,01,17,2013-01-17,39.2,28.0,1015.6,9.7,4.9,8.0,15.9,43.0,36.0,0.09,999.9,0,491
5,2013,01,18,2013-01-18,30.2,12.2,1024.4,10.0,5.7,9.9,20.0,39.9,25.0,0.0,999.9,0,561
6,2013,01,19,2013-01-19,37.3,18.1,1024.7,10.0,7.8,13.0,24.1,51.1,28.0,0.0,999.9,0,484
7,2013,01,20,2013-01-20,45.3,23.4,1009.8,10.0,9.7,15.9,31.1,53.1,39.9,0.0,999.9,0,393
1,2013,01,21,2013-01-21,29.8,9.3,1016.1,10.0,5.1,11.1,22.9,39.9,26.1,0.0,999.9,0,355
2,2013,01,22,2013-01-22,22.4,4.0,1014.4,9.9,8.4,14.0,25.1,30.9,17.1,0.0,999.9,0,544
3,2013,01,23,2013-01-23,14.4,-5.4,1022.5,10.0,7.7,11.1,24.1,19.9,10.9,0.0,999.9,0,545
4,2013,01,24,2013-01-24,16.8,-1.7,1023.0,10.0,6.7,15.0,27.0,21.9,12.0,0.0,999.9,0,554
5,2013,01,25,2013-01-25,17.1,1.5,1027.5,9.3,6.1,11.1,22.0,24.1,12.9,0.0,999.9,0,674
6,2013,01,26,2013-01-26,19.9,9.2,1019.8,9.0,5.7,9.9,15.0,26.1,15.1,0.07,999.9,0,558
7,2013,01,27,2013-01-27,24.5,7.5,1030.3,10.0,5.6,9.9,15.9,34.0,19.0,0.0,2.0,0,429
1,2013,01,28,2013-01-28,31.8,19.0,1029.1,6.9,3.5,8.9,18.1,34.0,28.9,0.0,1.2,0,507
2,2013,01,29,2013-01-29,40.3,35.3,1018.2,5.3,4.3,8.0,14.0,48.0,34.0,0.22,1.2,0,542
3,2013,01,30,2013-01-30,45.7,42.9,1010.2,3.5,3.6,8.9,999.9,59.0,39.0,0.06,999.9,1,497
4,2013,01,31,2013-01-31,49.1,36.5,995.4,7.9,9.1,20.0,38.1,61.0,34.0,0.93,999.9,1,592
5,2013,02,01,2013-02-01,29.3,9.5,1010.9,10.0,8.4,14.0,28.9,34.0,26.1,0.01,999.9,0,574
6,2013,02,02,2013-02-02,24.1,6.5,1022.7,10.0,6.3,12.0,19.0,28.9,19.0,0.0,999.9,0,534
7,2013,02,03,2013-02-03,26.5,18.0,1013.2,7.6,2.6,7.0,999.9,30.0,24.1,0.03,999.9,0,445
1,2013,02,04,2013-02-04,26.8,10.5,1012.0,9.8,6.2,12.0,28.0,30.0,23.0,0.02,999.9,0,553
2,2013,02,05,2013-02-05,29.1,20.3,1013.8,6.5,4.7,8.9,15.0,30.0,28.0,0.01,999.9,0,566
3,2013,02,06,2013-02-06,33.3,23.1,1017.5,6.5,3.6,7.0,20.0,39.0,30.0,0.01,999.9,0,566
4,2013,02,07,2013-02-07,29.3,6.2,1029.8,10.0,5.0,8.9,17.1,35.1,26.1,0.0,999.9,0,526
