Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,temp,dewp,num_collisions,slp,visib,wdsp,gust,prcp,sndp,fog
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,37.8,23.6,381,1011.9,10.0,6.1,19.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,27.1,10.5,480,1016.8,10.0,5.3,19.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,28.4,14.1,549,1020.6,10.0,3.7,15.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,33.4,18.6,505,1017.0,10.0,6.5,24.1,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,36.1,18.7,389,1020.6,10.0,6.6,21.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,38.3,25.0,393,1019.5,8.5,5.3,17.1,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,40.9,23.8,521,1022.6,10.0,5.7,17.1,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,40.7,25.4,513,1028.5,9.3,5.1,22.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,43.8,30.8,487,1026.3,7.8,3.7,15.9,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,44.3,25.4,555,1028.5,9.9,5.9,19.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,40.5,27.1,660,1030.4,9.4,4.5,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,44.6,43.0,475,1020.5,3.9,3.5,0.0,0.57,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.3,43.1,373,1019.7,4.2,2.9,0.0,0.02,0.0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,52.5,45.4,542,1016.8,5.9,3.9,15.9,0.0,0.0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,37.9,27.9,516,1025.5,9.7,5.7,14.0,0.09,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,34.2,30.0,578,1018.6,5.4,4.6,14.0,0.63,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.2,28.0,491,1015.6,9.7,4.9,15.9,0.09,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,30.2,12.2,561,1024.4,10.0,5.7,20.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,37.3,18.1,484,1024.7,10.0,7.8,24.1,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.3,23.4,393,1009.8,10.0,9.7,31.1,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,29.8,9.3,355,1016.1,10.0,5.1,22.9,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,22.4,4.0,544,1014.4,9.9,8.4,25.1,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,14.4,-5.4,545,1022.5,10.0,7.7,24.1,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,16.8,-1.7,554,1023.0,10.0,6.7,27.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,17.1,1.5,674,1027.5,9.3,6.1,22.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,19.9,9.2,558,1019.8,9.0,5.7,15.0,0.07,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,24.5,7.5,429,1030.3,10.0,5.6,15.9,0.0,2.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,31.8,19.0,507,1029.1,6.9,3.5,18.1,0.0,1.2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,40.3,35.3,542,1018.2,5.3,4.3,14.0,0.22,1.2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,45.7,42.9,497,1010.2,3.5,3.6,0.0,0.06,0.0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,49.1,36.5,592,995.4,7.9,9.1,38.1,0.93,0.0,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,29.3,9.5,574,1010.9,10.0,8.4,28.9,0.01,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,24.1,6.5,534,1022.7,10.0,6.3,19.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,26.5,18.0,445,1013.2,7.6,2.6,0.0,0.03,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,26.8,10.5,553,1012.0,9.8,6.2,28.0,0.02,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,29.1,20.3,566,1013.8,6.5,4.7,15.0,0.01,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,33.3,23.1,566,1017.5,6.5,3.6,20.0,0.01,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,29.3,6.2,526,1029.8,10.0,5.0,17.1,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,32.3,26.2,703,1022.6,5.8,10.2,31.1,0.01,0.0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,28.8,21.0,403,1013.9,3.4,8.0,25.1,1.52,0.0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,25.2,8.5,400,1028.7,10.0,3.4,15.9,0.38,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,38.5,32.4,475,1019.6,5.6,3.2,0.0,0.09,9.8,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,41.9,28.8,498,1009.8,8.8,7.2,22.0,0.4,9.1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.2,22.5,570,1011.2,9.9,3.0,15.0,0.0,3.9,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,38.2,26.7,631,1011.6,8.9,3.8,0.0,0.03,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,43.0,30.7,604,1015.0,7.8,4.9,15.9,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,37.9,28.0,449,1012.8,9.6,5.6,19.0,0.02,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,29.0,6.6,447,1006.6,10.0,9.6,35.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,23.4,2.0,398,1019.7,10.0,8.2,28.9,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.2,22.4,477,1017.1,9.3,5.8,21.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,33.8,16.8,510,1009.1,10.0,9.9,28.9,0.15,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,28.0,9.8,498,1015.9,10.0,9.2,26.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,30.0,17.2,531,1026.7,10.0,6.4,21.0,0.0,0.0,0
