"","Aug","Dec","Jul","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","num_collisions","slp","visib","gust","prcp","fog"
"1",0,0,1,0,0,0,0,1,0,0,0,0,0,2012,79,67.9,528,1011.5,9.2,22,0.26,0
"2",0,0,1,0,0,0,0,1,0,0,0,0,0,2012,80.3,54.1,564,1011.6,10,999.9,0,0
"3",0,0,1,0,0,0,0,1,0,0,0,0,0,2012,76,67.2,505,1016.9,8.9,999.9,0,0
"4",0,0,1,0,0,0,0,1,0,0,0,0,0,2012,78.5,56.8,533,1012.7,10,999.9,0.09,0
"5",0,0,1,0,0,0,0,1,0,0,0,0,0,2012,73.1,65.1,530,1018.6,10,999.9,0.01,0
"6",0,0,1,0,0,0,0,0,0,0,0,1,0,2012,80.3,67.3,574,1005.4,8.1,18.1,0.15,0
"7",0,0,1,0,0,0,0,0,0,0,0,1,0,2012,84.6,63.3,648,1009.3,9.4,18.1,0,0
"8",0,0,1,0,0,0,0,0,0,0,0,1,0,2012,73.4,64.3,540,1016.7,10,999.9,0,0
"9",0,0,1,0,0,0,0,0,0,0,0,1,0,2012,76.5,56.3,524,1016,10,999.9,0,0
"10",0,0,1,0,0,0,0,0,0,0,0,1,0,2012,79.8,56.7,664,1012.8,10,999.9,0,0
"11",0,0,1,0,0,0,0,0,0,0,0,0,1,2012,77.1,62,565,1019.9,10,999.9,0,0
"12",0,0,1,0,0,0,0,0,0,0,0,0,1,2012,81.8,65.6,432,1009.1,9.2,999.9,0.06,0
"13",0,0,1,0,0,0,0,0,0,0,0,0,1,2012,76.5,53.5,612,1009.7,10,999.9,0,0
"14",0,0,1,0,0,0,0,0,0,0,0,0,1,2012,85.3,69.1,559,1008.9,7.2,20,0,1
"15",0,0,1,0,0,0,0,0,0,0,1,0,0,2012,77.4,60.2,577,1021.7,10,999.9,0,0
"16",0,0,1,0,0,0,0,0,0,0,1,0,0,2012,78,62.4,604,1007,8.9,29.9,0,1
"17",0,0,1,0,0,0,0,0,0,0,1,0,0,2012,86.7,64.3,591,1007.4,9.4,999.9,99.99,0
"18",0,0,1,0,0,0,0,0,0,0,1,0,0,2012,73.3,67.2,522,1013.2,7.5,18.1,1.76,0
"19",0,0,1,0,0,0,1,0,0,0,0,0,0,2012,76.6,69.3,638,1007,9.1,999.9,0.6,0
"20",0,0,1,0,0,0,1,0,0,0,0,0,0,2012,78.9,60.7,603,1021.8,9.9,999.9,0,0
"21",0,0,1,0,0,0,1,0,0,0,0,0,0,2012,81.9,62.3,638,1011.7,10,999.9,0,0
"22",0,0,1,0,0,0,1,0,0,0,0,0,0,2012,67.2,62.8,604,1014.9,7.4,21,0.17,0
"23",0,0,1,0,0,0,0,0,1,0,0,0,0,2012,75.5,69.6,513,1012.2,7,15.9,0,1
"24",0,0,1,0,0,0,0,0,1,0,0,0,0,2012,68.1,58.5,528,1018.3,9.8,999.9,0.43,0
"25",0,0,1,0,0,0,0,0,1,0,0,0,0,2012,84.9,65.9,490,1010.1,9.5,17.1,0,0
"26",0,0,1,0,0,0,0,0,1,0,0,0,0,2012,78.5,62.7,536,1021.6,10,19,0,1
"27",0,0,1,0,0,0,0,0,0,1,0,0,0,2012,83.6,63,538,1008.9,9.7,18.1,0,0
"28",0,0,1,0,0,0,0,0,0,1,0,0,0,2012,71.7,66.1,376,1015.1,9.4,15.9,0.18,0
"29",0,0,1,0,0,0,0,0,0,1,0,0,0,2012,80.6,65.5,464,1010.1,8.5,15.9,0.59,0
"30",0,0,1,0,0,0,0,0,0,1,0,0,0,2012,72.5,59.4,498,1020.3,10,999.9,0,0
"31",0,0,1,0,0,0,0,0,0,1,0,0,0,2012,79.7,68.6,494,1018.3,9.1,999.9,0,0
"32",1,0,0,0,0,0,0,1,0,0,0,0,0,2012,77.3,66.9,593,1015.7,8.9,22,0.49,0
