"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","num_collisions","slp","visib","wdsp","gust","prcp","sndp","fog"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,39,23.9,346,1006,10,7.9,21,0.02,999.9,0
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,39.6,22.4,413,1013.2,10,5.2,17.1,0,999.9,0
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,46.6,38.6,456,1009.7,8.1,3.7,15,0.06,999.9,0
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,48.6,46.2,353,1005.7,4.9,2.8,999.9,0.34,999.9,1
"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,40.2,24.7,291,1007.9,10,10.5,34,0.02,999.9,0
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,37.3,25.2,459,1014.3,8.9,5.4,20,0.04,999.9,0
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,41.2,20.3,408,1016.2,10,4.6,19,0,999.9,0
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,36,23.7,454,1013.5,9.5,7.2,27,0,999.9,0
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,28.2,6.2,521,1035.6,10,4.9,21,0,999.9,0
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,41.4,29.3,522,1035.4,10,5.2,15.9,0,999.9,0
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,59.3,48.1,439,1024.9,10,4.8,19,0,999.9,0
"12",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,63.1,48.6,391,1016.1,9.8,7.8,27,0.05,999.9,0
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,43.3,32.2,476,1029,9.8,4.8,999.9,0,999.9,0
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,42.3,36.2,497,1027,7.7,2.9,999.9,0,999.9,0
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,45.2,35.4,508,1020.8,7.2,4,17.1,0.07,999.9,0
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,45,33.2,547,1014.6,7.8,7.4,34,0.11,999.9,0
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,28.4,5.3,566,1031,9.7,10.5,33,0,999.9,0
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,23.9,6.5,774,1034.3,7.6,4,22,0,999.9,1
"19",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,38.5,28.7,360,1007.8,8.9,7.5,22.9,0.37,999.9,0
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,26.5,5.6,390,1021.1,10,7.3,25.1,0,1.2,0
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,25.1,5,556,1029.7,10,4.1,15,0,999.9,0
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,30,12.7,489,1030.7,10,999.9,999.9,0,999.9,0
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,38.7,16.8,451,1029,10,999.9,999.9,0,999.9,0
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,43.6,22.9,524,1027.4,9.4,999.9,999.9,0,999.9,0
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,42.5,36.7,383,1019.6,6.7,999.9,999.9,0,999.9,1
"26",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,42.6,32.8,398,1008.5,10,999.9,999.9,0.85,999.9,0
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,40.4,27.3,452,1006.2,10,999.9,999.9,0,999.9,0
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,39.8,24.8,404,1008.5,10,7.2,21,0,999.9,0
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,36.5,17.4,495,1016.2,10,6.4,21,0,999.9,0
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,31.3,14.3,525,1024.8,10,4.2,15,0,999.9,0
"31",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,37.9,27.9,518,1026.3,10,2.7,999.9,0,999.9,0
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,40.6,35.3,409,1015,6.8,2.1,999.9,0.02,999.9,0
"33",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,39.3,30.9,391,1002.2,8.4,4,22.9,0.01,999.9,0
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,45.1,33.3,559,1006.8,9.1,5.2,15.9,0.06,999.9,0
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,50.1,39.1,464,1009.3,9.8,2.5,999.9,0,999.9,0
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,45.2,33,432,1014,9.8,4.6,17.1,0,999.9,0
