dateof,year,month,latitude,longitude
2013-06-01,2013,6,40.7167794,-73.9363409
2013-06-01,2013,6,40.6735712,-73.7335235
2013-06-01,2013,6,40.6182368,-74.0131654
2013-06-01,2013,6,40.6541504,-73.94993
2013-06-01,2013,6,40.7713071,-73.8766313
2013-06-01,2013,6,40.7445322,-73.9888703
2013-06-01,2013,6,40.7277586,-73.8922845
2013-06-01,2013,6,40.77396,-73.917761
2013-06-01,2013,6,40.8463591,-73.844621
2013-06-01,2013,6,40.7428838,-73.9511589
2013-06-01,2013,6,40.6775205,-73.9108136
2013-06-01,2013,6,40.7629131,-73.9697999
2013-06-01,2013,6,40.7241004,-73.9376363
2013-06-01,2013,6,40.7249048,-73.9923262
2013-06-01,2013,6,40.7589746,-73.9189996
2013-06-01,2013,6,40.7655301,-73.9976715
2013-06-01,2013,6,40.6105165,-73.9988835
2013-06-01,2013,6,40.759308,-73.9652931
2013-06-01,2013,6,40.8221447,-73.8878132
2013-06-01,2013,6,40.6763431,-73.910927
2013-06-01,2013,6,40.6762141,-73.7556379
2013-06-01,2013,6,40.6903524,-73.8360419
2013-06-01,2013,6,40.8478178,-73.8828443
2013-06-01,2013,6,40.7532439,-73.8896843
2013-06-01,2013,6,40.6546244,-73.9422603
2013-06-01,2013,6,40.6837354,-73.8593105
2013-06-01,2013,6,40.6262526,-73.9208682
2013-06-01,2013,6,40.5265628,-74.1690851
2013-06-01,2013,6,40.7997008,-73.9699638
2013-06-01,2013,6,40.6382692,-73.975488
2013-06-01,2013,6,40.7189132,-73.9992352
2013-06-01,2013,6,40.8150745,-73.919466
2013-06-01,2013,6,40.7570653,-74.001054
2013-06-01,2013,6,40.7741151,-73.988627
2013-06-01,2013,6,40.8493212,-73.9337309
2013-06-01,2013,6,40.6274856,-74.1086488
2013-06-01,2013,6,40.7301988,-73.9542459
2013-06-01,2013,6,40.6781627,-73.8974769
2013-06-01,2013,6,40.6607898,-73.9940024
2013-06-01,2013,6,40.7158555,-73.9949534
2013-06-01,2013,6,40.7390772,-73.814137
2013-06-01,2013,6,40.6860658,-73.9714321
2013-06-01,2013,6,40.6492494,-73.9687919
2013-06-01,2013,6,40.6797343,-73.9743118
2013-06-01,2013,6,40.7159981,-74.0070956
2013-06-01,2013,6,40.6103441,-74.1460165
2013-06-01,2013,6,40.6212405,-73.9290763
2013-06-01,2013,6,40.867743,-73.8595467
2013-06-01,2013,6,40.8501677,-73.9357542
2013-06-01,2013,6,40.7063803,-74.0095039
2013-06-01,2013,6,40.7192871,-73.8039721
2013-06-01,2013,6,40.6601179,-73.9505671
2013-06-01,2013,6,40.6791165,-73.8691051
2013-06-01,2013,6,40.7478537,-73.9929082
2013-06-01,2013,6,40.8934115,-73.8573621
2013-06-01,2013,6,40.600013,-73.9456673
2013-06-01,2013,6,40.7223073,-73.8441346
2013-06-01,2013,6,40.6655149,-73.9263799
2013-06-01,2013,6,40.8171812,-73.8454948
2013-06-01,2013,6,40.6397952,-73.9291071
2013-06-01,2013,6,40.8238869,-73.9523062
2013-06-01,2013,6,40.7457274,-73.9781227
2013-06-01,2013,6,40.8316215,-73.8478137
2013-06-01,2013,6,40.7731142,-73.8278482
2013-06-01,2013,6,40.6731994,-73.9763223
2013-06-01,2013,6,40.6467815,-73.8914315
2013-06-01,2013,6,40.7497328,-73.9360965
2013-06-01,2013,6,40.6722279,-73.9447109
2013-06-01,2013,6,40.7589782,-73.9939358
2013-06-01,2013,6,40.6388914,-73.9120327
2013-06-01,2013,6,40.5993815,-73.9514043
2013-06-01,2013,6,40.7167311,-74.0020778
2013-06-01,2013,6,40.7754292,-73.9839728
2013-06-01,2013,6,40.8165102,-73.8898612
2013-06-01,2013,6,40.5763924,-73.9868932
2013-06-01,2013,6,40.7260776,-73.8516698
2013-06-01,2013,6,40.5209185,-74.2351117
2013-06-01,2013,6,40.7579729,-73.9855364
2013-06-01,2013,6,40.5279487,-74.2347803
2013-06-01,2013,6,40.7566543,-73.9785667
2013-06-01,2013,6,40.6501081,-73.9302061
2013-06-01,2013,6,40.6320672,-73.9186024
2013-06-01,2013,6,40.7185836,-73.9917461
2013-06-01,2013,6,40.5523565,-74.1331691
2013-06-01,2013,6,40.7591997,-73.9846193
2013-06-01,2013,6,40.583106,-73.9541414
2013-06-01,2013,6,40.8687708,-73.8317333
2013-06-01,2013,6,40.6766464,-73.9164642
2013-06-01,2013,6,40.6538834,-73.8405391
2013-06-01,2013,6,40.7576718,-73.9948239
2013-06-01,2013,6,40.6472244,-73.911755
2013-06-01,2013,6,40.6858016,-73.7543192
2013-06-01,2013,6,40.6801185,-73.728691
2013-06-01,2013,6,40.739659,-73.817832
2013-06-01,2013,6,40.747061,-73.9293358
2013-06-01,2013,6,40.7295515,-73.9899011
2013-06-01,2013,6,40.7125234,-73.9383217
2013-06-01,2013,6,40.691597,-73.9914466
2013-06-01,2013,6,40.64824,-74.0140002
2013-06-01,2013,6,40.837194,-73.9366919
2013-06-01,2013,6,40.7194405,-73.845256
2013-06-01,2013,6,40.6912192,-73.9396792
2013-06-01,2013,6,40.6287467,-73.901966
2013-06-01,2013,6,40.6983571,-73.731358
2013-06-01,2013,6,40.7649883,-73.9611495
2013-06-01,2013,6,40.6839554,-73.9895582
2013-06-01,2013,6,40.7197624,-73.9447576
2013-06-01,2013,6,40.7099905,-73.9509557
2013-06-01,2013,6,40.5960695,-73.9841275
2013-06-01,2013,6,40.7497063,-73.9915618
2013-06-01,2013,6,40.6887604,-73.9808422
2013-06-01,2013,6,40.6605938,-73.9313269
2013-06-01,2013,6,40.6667308,-73.8479557
2013-06-01,2013,6,40.6518653,-73.8653425
2013-06-01,2013,6,40.6642522,-73.9220991
2013-06-01,2013,6,40.7471367,-73.8924084
2013-06-01,2013,6,40.7517512,-74.0079259
2013-06-01,2013,6,40.7699045,-73.9160706
2013-06-01,2013,6,40.7621051,-73.8354248
2013-06-01,2013,6,40.6590942,-73.7402817
2013-06-01,2013,6,40.7655301,-73.9976715
2013-06-01,2013,6,40.5635038,-74.1326443
2013-06-01,2013,6,40.7509597,-73.9827227
2013-06-01,2013,6,40.6878117,-73.9236906
2013-06-01,2013,6,40.7474318,-73.9254665
2013-06-01,2013,6,40.8295019,-73.8746089
2013-06-01,2013,6,40.6665495,-73.7627216
2013-06-01,2013,6,40.7265632,-73.8380134
2013-06-01,2013,6,40.8653624,-73.8704197
2013-06-01,2013,6,40.7603012,-73.9949825
2013-06-01,2013,6,40.8303057,-73.8717924
2013-06-01,2013,6,40.759626,-73.9954735
2013-06-01,2013,6,40.8617318,-73.9118139
2013-06-01,2013,6,40.6730093,-73.8133297
2013-06-01,2013,6,40.7415488,-73.9895745
2013-06-01,2013,6,40.6891376,-73.9907077
2013-06-01,2013,6,40.6763431,-73.910927
2013-06-01,2013,6,40.8687708,-73.8317333
2013-06-01,2013,6,40.5708076,-74.141895
2013-06-01,2013,6,40.6518665,-73.9126931
2013-06-01,2013,6,40.7686857,-73.9066698
2013-06-01,2013,6,40.8767973,-73.8838382
2013-06-01,2013,6,40.6937153,-73.9852005
2013-06-01,2013,6,40.7360471,-73.8727713
2013-06-01,2013,6,40.8798711,-73.842015
2013-06-01,2013,6,40.6786507,-73.7914586
2013-06-01,2013,6,40.6189904,-74.0697398
2013-06-01,2013,6,40.758092,-73.7958049
2013-06-01,2013,6,40.8231448,-73.8904211
2013-06-01,2013,6,40.7952524,-73.9732091
2013-06-01,2013,6,40.815755,-73.8952779
2013-06-01,2013,6,40.6333695,-74.0358376
2013-06-01,2013,6,40.6840525,-73.9774579
2013-06-01,2013,6,40.6507146,-73.9513777
2013-06-01,2013,6,40.7621841,-73.9936106
2013-06-01,2013,6,40.7359534,-73.7147376
2013-06-01,2013,6,40.6148138,-74.0294019
2013-06-01,2013,6,40.5558232,-74.1610298
2013-06-01,2013,6,40.6701245,-73.9552712
2013-06-01,2013,6,40.6433316,-73.9597285
2013-06-01,2013,6,40.8562453,-73.8955793
2013-06-01,2013,6,40.585935,-73.9518893
2013-06-01,2013,6,40.7098718,-74.0070517
2013-06-01,2013,6,40.7896858,-73.9481452
2013-06-01,2013,6,40.6338025,-73.8896944
2013-06-01,2013,6,40.7597902,-73.9879256
2013-06-01,2013,6,40.7597902,-73.9879256
2013-06-01,2013,6,40.7584292,-73.9926328
2013-06-01,2013,6,40.6694056,-73.9126017
2013-06-01,2013,6,40.6366356,-74.008377
2013-06-01,2013,6,40.6668568,-73.8042452
2013-06-01,2013,6,40.6370977,-73.934637
2013-06-01,2013,6,40.7133064,-73.9583408
2013-06-01,2013,6,40.5890394,-74.1520691
2013-06-01,2013,6,40.6639523,-73.9209713
2013-06-01,2013,6,40.695417,-73.908049
2013-06-01,2013,6,40.7550849,-73.9265552
2013-06-01,2013,6,40.8367938,-73.846678
2013-06-01,2013,6,40.847006,-73.8322799
2013-06-01,2013,6,40.6656356,-73.7581495
2013-06-01,2013,6,40.6670766,-73.7826497
2013-06-01,2013,6,40.6278296,-73.8902049
2013-06-01,2013,6,40.655155,-73.9336751
2013-06-01,2013,6,40.7421627,-73.8044317
2013-06-01,2013,6,40.7076317,-73.915841
2013-06-02,2013,6,40.7031151,-73.9215812
2013-06-02,2013,6,40.8745144,-73.8574424
2013-06-02,2013,6,40.653416,-73.9814542
2013-06-02,2013,6,40.8432084,-73.8792237
2013-06-02,2013,6,40.7616511,-73.8271379
2013-06-02,2013,6,40.6845872,-73.730458
2013-06-02,2013,6,40.7067428,-73.9203146
2013-06-02,2013,6,40.7264645,-73.9770899
2013-06-02,2013,6,40.8536861,-73.9305383
2013-06-02,2013,6,40.6627363,-73.9571216
2013-06-02,2013,6,40.835397,-73.920305
2013-06-02,2013,6,40.8852706,-73.8551048
2013-06-02,2013,6,40.7059963,-74.0052046
2013-06-02,2013,6,40.6924673,-73.8108147
2013-06-02,2013,6,40.7150678,-73.9058683
2013-06-02,2013,6,40.5793999,-74.1694817
2013-06-02,2013,6,40.7094706,-73.7458024
2013-06-02,2013,6,40.7404432,-73.9499265
2013-06-02,2013,6,40.7494844,-73.9753821
2013-06-02,2013,6,40.6423729,-73.9574626
2013-06-02,2013,6,40.904087,-73.8498581
2013-06-02,2013,6,40.8484227,-73.9192412
2013-06-02,2013,6,40.8128153,-73.9418016
2013-06-02,2013,6,40.665508,-73.9927692
2013-06-02,2013,6,40.775292,-73.9536264
2013-06-02,2013,6,40.6881494,-73.8488335
2013-06-02,2013,6,40.6801185,-73.728691
2013-06-02,2013,6,40.6682722,-73.9026252
2013-06-02,2013,6,40.7591044,-73.9921418
2013-06-02,2013,6,40.701791,-73.7864668
2013-06-02,2013,6,40.7691671,-73.9652374
2013-06-02,2013,6,40.7150376,-73.9968076
2013-06-02,2013,6,40.7529763,-73.9102326
2013-06-02,2013,6,40.8399962,-73.8683079
2013-06-02,2013,6,40.7466595,-73.9900681
2013-06-02,2013,6,40.7329414,-73.9203819
2013-06-02,2013,6,40.7767295,-73.9792787
2013-06-02,2013,6,40.7316898,-73.805083
2013-06-02,2013,6,40.6365697,-74.0366031
2013-06-02,2013,6,40.609516,-73.936047
2013-06-02,2013,6,40.6228277,-74.1622145
2013-06-02,2013,6,40.5637738,-74.1558518
2013-06-02,2013,6,40.7138459,-74.0105619
2013-06-02,2013,6,40.770612,-73.8918939
2013-06-02,2013,6,40.6044398,-74.1227536
2013-06-02,2013,6,40.7747112,-73.9333863
2013-06-02,2013,6,40.545354,-74.1780956
2013-06-02,2013,6,40.7004098,-73.8155143
2013-06-02,2013,6,40.7236438,-73.738118
2013-06-02,2013,6,40.6352332,-73.9954855
2013-06-02,2013,6,40.6914314,-73.8305256
2013-06-02,2013,6,40.7113388,-73.8564496
2013-06-02,2013,6,40.8580925,-73.9019135
2013-06-02,2013,6,40.6555642,-73.8797328
2013-06-02,2013,6,40.5147214,-74.2015384
2013-06-02,2013,6,40.8133899,-73.9562587
2013-06-02,2013,6,40.6003191,-73.9428907
2013-06-02,2013,6,40.6462644,-73.912686
2013-06-02,2013,6,40.6262181,-74.1578241
2013-06-02,2013,6,40.680015,-73.8774282
2013-06-02,2013,6,40.6091435,-74.1183432
2013-06-02,2013,6,40.8042578,-73.9629254
2013-06-02,2013,6,40.6337945,-74.0113274
2013-06-02,2013,6,40.6020542,-74.0133352
2013-06-02,2013,6,40.7579074,-73.9892976
2013-06-02,2013,6,40.5398771,-74.2065325
2013-06-02,2013,6,40.8195269,-73.9162017
2013-06-02,2013,6,40.6911938,-73.9977679
2013-06-02,2013,6,40.6088332,-74.1211698
2013-06-02,2013,6,40.6799401,-73.8846715
2013-06-02,2013,6,40.8401732,-73.8624383
2013-06-02,2013,6,40.6610289,-73.884924
2013-06-02,2013,6,40.6066511,-73.762692
2013-06-02,2013,6,40.7460388,-73.7185307
2013-06-02,2013,6,40.7139775,-73.9530878
2013-06-02,2013,6,40.688922,-73.9991472
