"","day","temp","dewp","num_collisions"
"1",4,37.8,23.6,-2.23270405939491
"2",5,27.1,10.5,-0.979385009842182
"3",6,28.4,14.1,-0.105859611669069
"4",7,33.4,18.6,-0.66289030035917
"5",1,36.1,18.7,-2.13142575236034
"6",2,38.3,25,-2.08078659884306
"7",3,40.9,23.8,-0.460333686290042
"8",4,40.7,25.4,-0.561611993324606
"9",5,43.8,30.8,-0.890766491186938
"10",6,44.3,25.4,-0.0299008813931465
"11",7,40.5,27.1,1.2993768984355
"12",1,44.6,43,-1.04268395173878
"13",2,45.3,43.1,-2.33398236642947
"14",3,52.5,45.4,-0.194478130324313
"15",4,37.9,27.9,-0.523632628186645
"16",5,34.2,30,0.261274251331224
"17",6,39.2,28,-0.840127337669657
"18",7,30.2,12.2,0.0460578488827763
"19",1,37.3,18.1,-0.9287458563249
"20",2,45.3,23.4,-2.08078659884306
"21",3,29.8,9.3,-2.56185855725724
"22",4,22.4,4,-0.169158553565672
"23",5,14.4,-5.4,-0.156498765186351
"24",6,16.8,-1.7,-0.042560669772467
"25",7,17.1,1.5,1.47661393574599
"26",1,19.9,9.2,0.00807848374481486
"27",2,24.5,7.5,-1.62503421718753
"28",3,31.8,19,-0.637570723600529
"29",4,40.3,35.3,-0.194478130324313
"30",5,45.7,42.9,-0.764168607393734
"31",6,49.1,36.5,0.438511288641711
"32",7,29.3,9.5,0.210635097813942
"33",1,24.1,6.5,-0.295756437358876
"34",2,26.5,18,-1.4224776031184
"35",3,26.8,10.5,-0.0552204581517875
"36",4,29.1,20.3,0.109356790779379
"37",5,33.3,23.1,0.109356790779379
"38",6,29.3,6.2,-0.39703474439344
"39",7,32.3,26.2,1.84374779874628
"40",1,28.8,21,-1.95418871504986
"41",2,25.2,8.5,-1.99216808018782
"42",3,38.5,32.4,-1.04268395173878
"43",4,41.9,28.8,-0.751508819014413
"44",5,38.2,22.5,0.15999594429666
"45",6,38.2,26.7,0.932243035435209
"46",7,43,30.7,0.590428749193556
"47",1,37.9,28,-1.37183844960112
"48",2,29,6.6,-1.39715802635976
"49",3,23.4,2,-2.01748765694646
"50",4,39.2,22.4,-1.01736437498014
"51",5,33.8,16.8,-0.599591358462568
"52",6,28,9.8,-0.751508819014413
"53",7,30,17.2,-0.333735802496838
"54",1,38,34.3,-0.460333686290042
"55",2,39.3,32.4,-1.66301358232549
"56",3,37.5,22.7,-0.852787126048977
"57",4,39.9,28.7,-0.257777072220915
"58",5,40.2,36.8,-0.0931998232897489
"59",6,45.2,32.9,-0.510972839807324
"60",7,40,27.4,0.577768960814236
"61",1,36.7,22.8,-1.0553437401181
"62",2,32.6,18.7,-0.700869665497131
"63",3,32.8,16.4,0.501810230538313
"64",4,37.9,20.6,-0.38437495601412
"65",5,40.1,29.3,-1.04268395173878
"66",6,36.7,28.2,-0.283096648979556
"68",1,43.7,22.1,0.14733615591734
"69",2,41.8,28.6,-1.80227125449801
"70",3,44.7,38.2,-0.447673897910722
"71",4,50.3,47.3,-0.13117918842771
"72",5,45,29.9,0.995541977331811
"73",6,35.6,13.6,-0.00458130463450561
"74",7,36.1,13.5,0.628408114331518
"75",1,37.3,24.1,-0.460333686290042
"76",2,33,20,-1.66301358232549
"77",3,32.1,14.1,0.830964728400645
"78",4,36,32.2,0.0207382721241353
"79",5,38.5,18.9,-0.219797707082954
"80",6,35.7,16,-0.624910935221209
"81",7,34,13.9,0.590428749193556
"82",1,38.4,17.6,-0.878106702807618
"83",2,39.1,18.2,-1.34651887284248
"84",3,38.3,27.7,-0.751508819014413
"85",4,42.2,27.3,-1.67567337070481
"86",5,43.8,22.7,-1.47311675663568
"87",6,43.3,27.8,-0.105859611669069
"88",7,46.7,26.4,-0.472993474669363
"89",1,48,24.5,-0.561611993324606
"90",2,49.3,29.7,-1.66301358232549
"91",3,49.3,40.8,-0.992044798221502
"92",4,38,10.9,-1.52375591015296
"93",5,38.4,9.5,-0.321076014117517
"94",6,39.9,16.4,0.109356790779379
"95",7,49,22.3,0.311913404848506
"96",1,43.1,13.2,-0.333735802496838
"97",2,46.2,31,-1.34651887284248
"98",3,59,40.8,0.311913404848506
"99",4,65.7,42.7,0.704366844607441
"100",5,65.1,45.9,0.286593828089865
"101",6,56.2,50.1,-0.510972839807324
"102",7,44.2,38.8,1.16011922626298
"103",1,46.5,36.8,-0.0299008813931465
"104",2,52.3,30.4,-1.08066331687675
"105",3,49.9,27,0.577768960814236
"106",4,53.9,43.9,0.0840372140207377
"107",5,62.7,45.3,-0.283096648979556
"108",6,55.3,39.9,-0.0552204581517875
"109",7,60.8,55,0.15999594429666
"110",1,55.5,38,-0.321076014117517
"111",2,46,20.5,-1.09332310525607
"112",3,47.6,29.9,0.0966970024000581
"113",4,45.4,34.5,-0.561611993324606
"114",5,52.9,41.1,0.514470018917634
"115",6,56.1,31.5,0.324573193227827
"116",7,57.3,29.4,1.48927372412531
"117",1,57.8,27.8,-0.510972839807324
"118",2,58.9,31.1,-1.485776545015
"119",3,55,44,0.514470018917634
"120",4,57.7,38.2,0.235954674572583
"121",5,57,32.7,0.235954674572583
"122",6,58.9,41.2,0.349892769986468
"123",7,56.6,37.9,1.62853139629783
"124",1,54.7,41.4,0.286593828089865
"125",2,52.1,38.7,-0.536292416565965
"126",3,55.4,44.7,0.0460578488827763
"127",4,60.9,50.8,0.438511288641711
"128",5,60.3,56.6,0.792985363262684
"129",6,58.9,54.2,0.565109172434915
"130",7,66.9,54,1.78044885684968
"131",1,64.4,60.1,-0.435014109531402
"132",2,62.6,45.3,-0.38437495601412
"133",3,51.7,26.7,0.248614462951904
"134",4,51.1,27.2,0.0966970024000581
"135",5,58,39.9,-0.321076014117517
"136",6,69.5,51,0.0207382721241353
"137",7,66.4,40.2,2.33747954553978
"138",1,61,46.6,-0.650230511979849
"139",2,57.3,53.4,-0.169158553565672
"140",3,65,60,1.27405732167686
"141",4,75.9,65.2,1.76778906847036
"142",5,71,63.4,0.15999594429666
"143",6,71.5,66.2,2.24886102688454
"144",7,59.6,57,1.40065520547007
"145",1,48.1,41.7,-0.548952204945286
"146",2,55.5,35.6,-1.29587971932519
"147",3,61.7,34.9,-1.73897231260141
"148",4,61.1,47.1,1.62853139629783
"149",5,66.9,60.6,0.210635097813942
"150",6,81,63.4,1.61587160791851
"151",7,83,63.4,2.26152081526386
"152",1,80.8,64.1,0.932243035435209
"153",2,80.1,65.9,-0.890766491186938
"154",3,72.2,67.3,1.89438695226356
"155",4,66.1,45.6,0.704366844607441
"156",5,66,41.7,0.527129807296954
"157",6,63.8,53.8,0.603088537572877
"158",7,61.5,59.4,2.95780917612648
"159",1,64.9,58.9,0.172655732675981
"160",2,71.7,57.6,-0.308416225738197
"161",3,67.7,62.1,0.843624516779966
"162",4,69.6,63.6,0.982882188952491
"163",5,70.9,53.2,0.729686421366082
"164",6,65.7,55.6,-0.283096648979556
"165",7,59.9,53.8,1.71714991495308
"166",1,69.4,52,0.489150442158993
"167",2,72.8,53.8,-1.01736437498014
"168",3,75.3,63.4,0.717026632986761
"169",4,72.8,63.8,0.704366844607441
"170",5,67.4,54.4,0.818304940021325
"171",6,69.6,52.4,1.56523245440123
"172",7,71.6,51.6,1.67917054981512
"173",1,72.4,54,0.527129807296954
"174",2,76.1,62.6,-0.66289030035917
"175",3,80.6,68.1,1.55257266602191
"176",4,80.9,64.9,1.14745943788366
"177",5,79.4,65.6,0.805645151642004
"178",6,78.1,68.7,0.514470018917634
"179",7,77.1,69.4,0.641067902710838
"180",1,76.2,65.9,0.42585150026239
"181",2,77.5,70.8,-1.70099294746345
"182",3,74.2,71,0.95756261219385
"183",4,75.6,71.7,0.552449384055595
"184",5,76,71.4,0.982882188952491
"185",6,79.5,72.8,-1.51109612177364
"186",7,82.3,70.7,0.235954674572583
"187",1,84.6,70.1,-0.523632628186645
"188",2,85.6,70.7,-1.04268395173878
"189",3,81.3,65.8,0.755005998124722
"190",4,78.8,67.2,0.324573193227827
"191",5,79.4,70.5,0.717026632986761
"192",6,80.6,68.7,-0.0931998232897489
"193",7,75,62.6,0.527129807296954
"194",1,72.2,68.9,0.223294886193263
"195",2,80.3,71.5,-1.09332310525607
"196",3,85.3,69.7,0.299253616469186
