"","day","temp","dewp","num_collisions"
"1",2,37.8,23.6,0.381
"2",3,27.1,10.5,0.48
"3",4,28.4,14.1,0.549
"4",5,33.4,18.6,0.505
"5",6,36.1,18.7,0.389
"6",7,38.3,25,0.393
"7",1,40.9,23.8,0.521
"8",2,40.7,25.4,0.513
"9",3,43.8,30.8,0.487
"10",4,44.3,25.4,0.555
"11",5,40.5,27.1,0.66
"12",6,44.6,43,0.475
"13",7,45.3,43.1,0.373
"14",1,52.5,45.4,0.542
"15",2,37.9,27.9,0.516
"16",3,34.2,30,0.578
"17",4,39.2,28,0.491
"18",5,30.2,12.2,0.561
"19",6,37.3,18.1,0.484
"20",7,45.3,23.4,0.393
"21",1,29.8,9.3,0.355
"22",2,22.4,4,0.544
"23",3,14.4,-5.4,0.545
"24",4,16.8,-1.7,0.554
"25",5,17.1,1.5,0.674
"26",6,19.9,9.2,0.558
"27",7,24.5,7.5,0.429
"28",1,31.8,19,0.507
"29",2,40.3,35.3,0.542
"30",3,45.7,42.9,0.497
"31",4,49.1,36.5,0.592
"32",5,29.3,9.5,0.574
"33",6,24.1,6.5,0.534
"34",7,26.5,18,0.445
"35",1,26.8,10.5,0.553
"36",2,29.1,20.3,0.566
"37",3,33.3,23.1,0.566
"38",4,29.3,6.2,0.526
"39",5,32.3,26.2,0.703
"40",6,28.8,21,0.403
"41",7,25.2,8.5,0.4
"42",1,38.5,32.4,0.475
"43",2,41.9,28.8,0.498
"44",3,38.2,22.5,0.57
"45",4,38.2,26.7,0.631
"46",5,43,30.7,0.604
"47",6,37.9,28,0.449
"48",7,29,6.6,0.447
"49",1,23.4,2,0.398
"50",2,39.2,22.4,0.477
"51",3,33.8,16.8,0.51
"52",4,28,9.8,0.498
"53",5,30,17.2,0.531
"54",6,38,34.3,0.521
"55",7,39.3,32.4,0.426
"56",1,37.5,22.7,0.49
"57",2,39.9,28.7,0.537
"58",3,40.2,36.8,0.55
"59",4,45.2,32.9,0.517
"60",5,40,27.4,0.603
"61",6,36.7,22.8,0.474
"62",7,32.6,18.7,0.502
"63",1,32.8,16.4,0.597
"64",2,37.9,20.6,0.527
"65",3,40.1,29.3,0.475
"66",4,36.7,28.2,0.535
"68",6,43.7,22.1,0.569
"69",7,41.8,28.6,0.415
"70",1,44.7,38.2,0.522
"71",2,50.3,47.3,0.547
"72",3,45,29.9,0.636
"73",4,35.6,13.6,0.557
"74",5,36.1,13.5,0.607
"75",6,37.3,24.1,0.521
"76",7,33,20,0.426
"77",1,32.1,14.1,0.623
"78",2,36,32.2,0.559
"79",3,38.5,18.9,0.54
"80",4,35.7,16,0.508
"81",5,34,13.9,0.604
"82",6,38.4,17.6,0.488
"83",7,39.1,18.2,0.451
"84",1,38.3,27.7,0.498
"85",2,42.2,27.3,0.425
"86",3,43.8,22.7,0.441
"87",4,43.3,27.8,0.549
"88",5,46.7,26.4,0.52
"89",6,48,24.5,0.513
"90",7,49.3,29.7,0.426
"91",1,49.3,40.8,0.479
"92",2,38,10.9,0.437
"93",3,38.4,9.5,0.532
"94",4,39.9,16.4,0.566
"95",5,49,22.3,0.582
"96",6,43.1,13.2,0.531
"97",7,46.2,31,0.451
"98",1,59,40.8,0.582
"99",2,65.7,42.7,0.613
"100",3,65.1,45.9,0.58
"101",4,56.2,50.1,0.517
"102",5,44.2,38.8,0.649
"103",6,46.5,36.8,0.555
"104",7,52.3,30.4,0.472
"105",1,49.9,27,0.603
"106",2,53.9,43.9,0.564
"107",3,62.7,45.3,0.535
"108",4,55.3,39.9,0.553
"109",5,60.8,55,0.57
"110",6,55.5,38,0.532
"111",7,46,20.5,0.471
"112",1,47.6,29.9,0.565
"113",2,45.4,34.5,0.513
"114",3,52.9,41.1,0.598
"115",4,56.1,31.5,0.583
"116",5,57.3,29.4,0.675
"117",6,57.8,27.8,0.517
"118",7,58.9,31.1,0.44
"119",1,55,44,0.598
"120",2,57.7,38.2,0.576
"121",3,57,32.7,0.576
