"","day","temp","dewp","num_collisions"
"1",2,37.8,23.6,381
"2",3,27.1,10.5,480
"3",4,28.4,14.1,549
"4",5,33.4,18.6,505
"5",6,36.1,18.7,389
"6",7,38.3,25,393
"7",1,40.9,23.8,521
"8",2,40.7,25.4,513
"9",3,43.8,30.8,487
"10",4,44.3,25.4,555
"11",5,40.5,27.1,660
"12",6,44.6,43,475
"13",7,45.3,43.1,373
"14",1,52.5,45.4,542
"15",2,37.9,27.9,516
"16",3,34.2,30,578
"17",4,39.2,28,491
"18",5,30.2,12.2,561
"19",6,37.3,18.1,484
"20",7,45.3,23.4,393
"21",1,29.8,9.3,355
"22",2,22.4,4,544
"23",3,14.4,-5.4,545
"24",4,16.8,-1.7,554
"25",5,17.1,1.5,674
"26",6,19.9,9.2,558
"27",7,24.5,7.5,429
"28",1,31.8,19,507
"29",2,40.3,35.3,542
"30",3,45.7,42.9,497
"31",4,49.1,36.5,592
"32",5,29.3,9.5,574
"33",6,24.1,6.5,534
"34",7,26.5,18,445
"35",1,26.8,10.5,553
"36",2,29.1,20.3,566
"37",3,33.3,23.1,566
"38",4,29.3,6.2,526
"39",5,32.3,26.2,703
"40",6,28.8,21,403
"41",7,25.2,8.5,400
"42",1,38.5,32.4,475
"43",2,41.9,28.8,498
"44",3,38.2,22.5,570
"45",4,38.2,26.7,631
"46",5,43,30.7,604
"47",6,37.9,28,449
"48",7,29,6.6,447
"49",1,23.4,2,398
"50",2,39.2,22.4,477
"51",3,33.8,16.8,510
"52",4,28,9.8,498
"53",5,30,17.2,531
"54",6,38,34.3,521
"55",7,39.3,32.4,426
"56",1,37.5,22.7,490
"57",2,39.9,28.7,537
"58",3,40.2,36.8,550
"59",4,45.2,32.9,517
"60",5,40,27.4,603
"61",6,36.7,22.8,474
"62",7,32.6,18.7,502
"63",1,32.8,16.4,597
"64",2,37.9,20.6,527
"65",3,40.1,29.3,475
"66",4,36.7,28.2,535
"68",6,43.7,22.1,569
"69",7,41.8,28.6,415
"70",1,44.7,38.2,522
"71",2,50.3,47.3,547
"72",3,45,29.9,636
"73",4,35.6,13.6,557
"74",5,36.1,13.5,607
"75",6,37.3,24.1,521
"76",7,33,20,426
"77",1,32.1,14.1,623
"78",2,36,32.2,559
"79",3,38.5,18.9,540
"80",4,35.7,16,508
"81",5,34,13.9,604
"82",6,38.4,17.6,488
"83",7,39.1,18.2,451
"84",1,38.3,27.7,498
"85",2,42.2,27.3,425
"86",3,43.8,22.7,441
"87",4,43.3,27.8,549
"88",5,46.7,26.4,520
"89",6,48,24.5,513
"90",7,49.3,29.7,426
"91",1,49.3,40.8,479
"92",2,38,10.9,437
"93",3,38.4,9.5,532
"94",4,39.9,16.4,566
"95",5,49,22.3,582
"96",6,43.1,13.2,531
"97",7,46.2,31,451
"98",1,59,40.8,582
"99",2,65.7,42.7,613
"100",3,65.1,45.9,580
"101",4,56.2,50.1,517
"102",5,44.2,38.8,649
"103",6,46.5,36.8,555
"104",7,52.3,30.4,472
"105",1,49.9,27,603
"106",2,53.9,43.9,564
"107",3,62.7,45.3,535
"108",4,55.3,39.9,553
"109",5,60.8,55,570
"110",6,55.5,38,532
"111",7,46,20.5,471
"112",1,47.6,29.9,565
"113",2,45.4,34.5,513
"114",3,52.9,41.1,598
"115",4,56.1,31.5,583
"116",5,57.3,29.4,675
"117",6,57.8,27.8,517
"118",7,58.9,31.1,440
"119",1,55,44,598
"120",2,57.7,38.2,576
"121",3,57,32.7,576
"122",4,58.9,41.2,585
"123",5,56.6,37.9,686
"124",6,54.7,41.4,580
"125",7,52.1,38.7,515
"126",1,55.4,44.7,561
"127",2,60.9,50.8,592
"128",3,60.3,56.6,620
"129",4,58.9,54.2,602
"130",5,66.9,54,698
"131",6,64.4,60.1,523
"132",7,62.6,45.3,527
"133",1,51.7,26.7,577
"134",2,51.1,27.2,565
"135",3,58,39.9,532
"136",4,69.5,51,559
"137",5,66.4,40.2,742
"138",6,61,46.6,506
"139",7,57.3,53.4,544
"140",1,65,60,658
"141",2,75.9,65.2,697
"142",3,71,63.4,570
"143",4,71.5,66.2,735
"144",5,59.6,57,668
"145",6,48.1,41.7,514
"146",7,55.5,35.6,455
"147",1,61.7,34.9,420
"148",2,61.1,47.1,686
"149",3,66.9,60.6,574
"150",4,81,63.4,685
"151",5,83,63.4,736
"152",6,80.8,64.1,631
"153",7,80.1,65.9,487
"154",1,72.2,67.3,707
"155",2,66.1,45.6,613
"156",3,66,41.7,599
"157",4,63.8,53.8,605
"158",5,61.5,59.4,791
"159",6,64.9,58.9,571
"160",7,71.7,57.6,533
"161",1,67.7,62.1,624
"162",2,69.6,63.6,635
"163",3,70.9,53.2,615
"164",4,65.7,55.6,535
"165",5,59.9,53.8,693
"166",6,69.4,52,596
"167",7,72.8,53.8,477
"168",1,75.3,63.4,614
"169",2,72.8,63.8,613
"170",3,67.4,54.4,622
"171",4,69.6,52.4,681
"172",5,71.6,51.6,690
"173",6,72.4,54,599
"174",7,76.1,62.6,505
"175",1,80.6,68.1,680
"176",2,80.9,64.9,648
"177",3,79.4,65.6,621
"178",4,78.1,68.7,598
"179",5,77.1,69.4,608
"180",6,76.2,65.9,591
"181",7,77.5,70.8,423
"182",1,74.2,71,633
"183",2,75.6,71.7,601
"184",3,76,71.4,635
"185",4,79.5,72.8,438
"186",5,82.3,70.7,576
"187",6,84.6,70.1,516
"188",7,85.6,70.7,475
"189",1,81.3,65.8,617
"190",2,78.8,67.2,583
"191",3,79.4,70.5,614
"192",4,80.6,68.7,550
"193",5,75,62.6,599
"194",6,72.2,68.9,575
"195",7,80.3,71.5,471
"196",1,85.3,69.7,581
"197",2,85.9,66.3,582
"198",3,86.7,66.3,609
"199",4,88.2,68.6,636
"200",5,89.1,72.1,697
"201",6,86.7,70.1,551
"202",7,82.3,63.7,447
"203",1,78.2,70,591
"204",2,78.7,71.4,571
"205",3,78.5,64.5,571
"206",4,67.3,52.3,507
"207",5,72.2,57.5,617
"208",6,75.2,61.2,516
"209",7,73.3,65.2,485
"210",1,75.1,64.9,597
"211",2,74.4,53.3,584
"212",3,74.1,56.3,553
"213",4,71.5,62.8,643
"214",5,73.6,62.9,626
"215",6,73.4,60,492
"216",7,73.2,56,454
"217",1,70.2,47,545
"218",2,72.1,52.5,543
"219",3,73.4,60.5,508
"220",4,73.8,69.3,549
