"","day","temp","dewp","num_collisions"
"1",4,37.8,23.6,381
"5",1,36.1,18.7,389
"6",2,38.3,25,393
"13",2,45.3,43.1,373
"20",2,45.3,23.4,393
"21",3,29.8,9.3,355
"41",2,25.2,8.5,400
"49",3,23.4,2,398
"359",5,24.8,6.5,257
"363",2,45.9,30.4,394
"39",7,32.3,26.2,703
"67",7,34,30.2,851
"137",7,66.4,40.2,742
"143",6,71.5,66.2,735
"151",7,83,63.4,736
"154",3,72.2,67.3,707
"158",7,61.5,59.4,791
"305",7,66.2,56.7,710
"326",7,52.8,43.7,702
"329",3,27.5,6.8,710
"330",4,35.9,18.7,867
"331",5,48.5,44.4,742
"340",7,52.4,48.3,759
"351",4,27.3,16,703
"352",5,28.9,18.3,701
"357",3,59.8,54,707
"366",5,28.2,10.7,399
"370",2,30.3,21.9,320
"371",3,45.6,39.8,518
"378",3,42.7,29.3,568
"385",3,39,21.1,360
"386",4,25.2,13.3,1161
"406",3,25.1,12.4,678
"414",4,32,18.5,518
"724",6,53.2,41.7,303
"728",3,41.4,21.6,411
"404",1,25.9,5,424
"432",1,42.8,26.9,515
"502",1,61.6,48.2,619
"508",7,62.2,56.5,660
"516",1,64.2,48.7,587
"519",4,75.3,58.5,663
"523",1,71,50.9,623
"670",1,46.5,39.1,656
"691",1,34.3,11.1,512
"694",4,60,40.4,599
"695",5,42.9,30.4,742
"696",6,36.3,30.3,378
"705",1,44.8,42,628
"716",5,47.4,39.7,555
"717",6,40.7,24.2,621
"722",4,44.4,41.8,732
"731",6,31.4,8.1,395
"735",3,40.9,19.1,498
"736",4,21,4.8,777
"743",4,29.5,17.3,613
"750",4,37.5,20.2,500
"751",5,31.4,8.9,495
"771",4,30,19.3,571
"779",5,24.9,10.3,626
"1089",7,62,52.1,321
"1093",4,39.3,34.5,533
"769",2,35.1,27.6,394
"797",2,41.4,21.3,464
"867",2,72.2,63.7,543
"873",1,59.3,28.3,546
"881",2,74.4,63.8,555
"884",5,58,49.6,658
"888",2,65,40.3,559
"1035",2,57.9,43.7,312
"1056",2,51.2,35.6,431
"1059",5,42.5,24.9,717
"1060",6,49,38,383
"1061",7,57.1,47.5,480
"1070",2,46.5,31.9,485
"1081",6,54.7,48.7,745
"1082",7,51.9,41.2,767
"1087",5,56.4,52,805
"1096",7,40.4,24.3,393
"1100",4,18.4,-2.3,640
"1101",5,31.2,2.8,625
"1108",5,27.1,7.8,605
"1115",5,30.7,13.1,623
"1116",6,30.9,12.5,666
"1136",5,34.8,24.2,537
"1144",6,32.5,11.5,592
"1454",1,42.1,32.2,554
"1458",5,39.7,24.4,546
"1134",3,36,24.2,501
"1162",3,45.2,27,571
"1232",3,52.5,27.1,742
"1238",2,59.7,48,571
"1246",3,73,66.6,471
"1249",6,68.4,55.9,683
"1253",3,72.6,60.1,758
"1400",3,50.7,37.2,655
"1421",3,38.2,18.4,684
"1424",6,43.2,31.2,428
"1425",7,48.6,42.6,455
"1426",1,47.7,38.8,463
"1435",3,42.8,31.6,791
"1446",7,20.7,2.8,792
"1447",1,29.9,22.2,623
"1452",6,41.6,22.7,700
"1462",2,44.8,22.9,485
"1466",6,31.4,9.3,552
"1467",7,30.2,16,600
"1474",7,51.4,35.8,604
"1481",7,41.9,33,605
"1482",1,42.9,41,475
"1502",7,24.2,6.2,708
"1510",1,45.7,21.7,570
"1820",3,35.7,25.5,333
"1824",7,15.4,-0.8,598
"1500",5,45.9,39.9,673
"1528",5,54.2,36.7,609
"1598",5,76,53.2,753
"1604",4,62.2,52.9,659
"1612",5,63.1,58.6,669
"1615",1,64.3,41.3,637
"1619",5,57.8,47.4,675
"1766",5,50,33.6,607
"1787",5,51,40.5,774
"1790",1,48.7,30.4,456
"1791",2,47.1,29,485
"1792",3,43.5,24.3,635
"1801",5,49.3,34.5,651
"1812",2,34.7,22.3,547
"1813",3,38.7,30.3,706
"1818",1,41.3,39.2,565
"1827",3,11.7,-4.6,453
"1831",7,14.9,-2.5,700
"1832",1,10.2,-9.4,599
"1839",1,43.6,36.8,603
"1846",1,43.3,21.8,530
"1847",2,46,28.3,418
"1867",1,43,37.6,549
"1875",2,37.2,27.4,472
"2185",4,36.8,21.3,328
"2189",1,51.9,41.7,499
"1865",6,31,18.2,616
"1893",6,35.7,28,633
"1963",6,61.2,58.5,732
"1969",5,66.7,57.5,729
"1977",6,64.8,60.4,698
"1980",2,64,55.7,525
"1984",6,63.6,53.2,693
"2131",6,62.2,52.7,696
"2152",6,25.2,3.2,412
"2155",2,49.1,42.4,483
"2156",3,50,40.9,743
"2157",4,43.3,34.5,609
"2166",6,34.5,18.8,681
"2177",3,40.4,32,689
"2178",4,35.5,15.8,731
"2183",2,40,23.5,505
"2192",4,50.5,43.2,430
"2196",1,44.2,41,455
"2197",2,43.5,30,376
"2204",2,29.4,9.9,374
"2211",2,34,29.5,411
"2212",3,10.7,-5.3,412
"2232",2,28.3,8.7,445
"2240",3,35.6,29.7,406
"2550",5,38.7,22.1,264
"2554",2,42.6,30.2,384
"2230",7,45,36.1,661
"2258",7,30.5,11.1,652
"2328",7,67.8,51.5,726
"2334",6,64.2,51.5,722
"2342",7,69.1,60.1,765
"2345",3,64.4,44.9,659
"2349",7,72.8,59.3,734
"2496",7,54.9,39,782
"2517",7,49.2,34.8,633
"2520",3,44.8,32.6,641
"2521",4,51.6,36.6,702
"2522",5,54.3,43.2,561
"2531",7,40.6,23.7,563
"2542",4,33.5,29.8,700
"2543",5,33,24.8,701
"2548",3,46.5,27,593
